key,french_reference,english_reference,translation
services.iot.title,IoT & Capteurs,IoT & Sensors,
services.iot.desc,Surveillance en temps réel de vos cultures avec des capteurs intelligents connectés.,Real‑time monitoring of your fields with smart connected sensors.,
services.iot.f1,Humidité du sol,Soil moisture,
services.iot.f2,Température,Temperature,
services.iot.f3,pH,pH,
services.iot.f4,Nutriments,Nutrients,
services.weather.title,Météo Prédictive,Predictive Weather,
services.weather.desc,Analyses météorologiques avancées pour optimiser vos opérations agricoles.,Advanced weather analytics to optimize farm operations.,
services.weather.f1,Prévisions précises,Accurate forecasts,
services.weather.f2,Alertes automatiques,Automatic alerts,
services.weather.f3,Planning irrigation,Irrigation planning,
services.weather.f4,Protection cultures,Crop protection,
services.analytics.title,Analytics Avancées,Advanced Analytics,
services.analytics.desc,Tableaux de bord intelligents pour une prise de décision éclairée.,Smart dashboards for informed decision‑making.,
services.analytics.f1,Rapports détaillés,Detailed reports,
services.analytics.f2,Tendances historiques,Historical trends,
services.analytics.f3,Recommandations,Recommendations,
services.analytics.f4,Suivi du ROI,ROI tracking,
services.sustainable.title,Agriculture Durable,Sustainable Agriculture,
services.sustainable.desc,Solutions respectueuses de l'environnement pour une agriculture responsable.,Environment‑friendly solutions for responsible farming.,
services.sustainable.f1,Optimisation ressources,Resource optimization,
services.sustainable.f2,Réduction pesticides,Pesticide reduction,
services.sustainable.f3,Biodiversité,Biodiversity,
services.sustainable.f4,Suivi carbone,Carbon tracking,
services.app.title,App Mobile,Mobile App,
services.app.desc,Contrôlez votre exploitation depuis n'importe où avec notre application intuitive.,Control your farm from anywhere with our intuitive app.,
services.app.f1,Interface intuitive,Intuitive interface,
services.app.f2,Notifications push,Push notifications,
services.app.f3,Contrôle à distance,Remote control,
services.app.f4,Mode hors ligne,Offline mode,
services.ai.title,IA & Automation,AI & Automation,
services.ai.desc,Intelligence artificielle pour automatiser et optimiser vos processus agricoles.,Artificial intelligence to automate and optimize your processes.,
services.ai.f1,Irrigation automatique,Automated irrigation,
services.ai.f2,Détection maladies,Disease detection,
services.ai.f3,Prédiction rendements,Yield prediction,
services.ai.f4,Maintenance prédictive,Predictive maintenance,
about.title,À Propos d'KILIMO,About KILIMO,
about.subtitle,"Née de la passion pour l'innovation agricole, KILIMO transforme l'agriculture traditionnelle en écosystème intelligent et durable grâce à des technologies accessibles et durables.","Born from a passion for agricultural innovation, KILIMO turns traditional farming into an intelligent, sustainable ecosystem with accessible technologies.",
about.story.title,Notre Histoire,Our Story,
about.story.p1,"Fondée en 2020 par une équipe d'ingénieurs agronomes et de développeurs passionnés, KILIMO est née du constat que l'agriculture moderne avait besoin d'une révolution technologique.","Founded in 2020 by agronomists and developers, KILIMO emerged from the need for a technological revolution in modern agriculture.",
about.story.p2,"Nous avons commencé par développer des capteurs IoT abordables pour les petites exploitations au Burkina Faso, avant d'étendre notre vision à l'ensemble de l'Afrique de l'Ouest.","We started by building affordable IoT sensors for small farms in Burkina Faso, then expanded across West Africa.",
about.story.p3,"Aujourd'hui, notre plateforme aide des centaines d'agriculteurs à optimiser leurs rendements tout en préservant l'environnement, prouvant que technologie et tradition peuvent coexister harmonieusement.","Today, our platform helps hundreds of farmers optimize yields while preserving the environment, proving tech and tradition can coexist.",
about.stats.founded,Année de création,Year founded,
about.stats.experts,Experts en équipe,Team experts,
about.stats.countries,Pays d'intervention,Countries served,
about.stats.savings,Économies générées,Savings generated,
about.objectives.title,Nos Objectifs,Our Objectives,
about.objectives.o1,Valoriser les ressources agricoles locales,Valorize local agricultural resources,
about.objectives.o2,Accroître les rendements de manière durable,Increase yields sustainably,
about.objectives.o3,Créer des ponts entre innovation technologique et savoirs paysans,Bridge tech innovation and farmer knowledge,
about.objectives.o4,Promouvoir l'entrepreneuriat agricole pour les jeunes et les femmes,Promote agri‑entrepreneurship for youth and women,
about.objectives.o5,Réduire les pertes post-récolte et améliorer la traçabilité,Reduce post‑harvest losses and improve traceability,
about.solutions.title,Nos Solutions,Our Solutions,
about.solutions.s1,Systèmes de culture intégrés et rentables,"Integrated, profitable farming systems",
about.solutions.s2,Suivi digital des parcelles via capteurs ou plateformes mobiles,Digital plot monitoring via sensors or mobile platforms,
about.solutions.s3,Conseils agronomiques personnalisés,Personalized agronomic advice,
about.solutions.s4,Chaîne de valeur agri-élevage complète : du champ à la commercialisation,Full agri‑livestock value chain: from field to market,
about.solutions.s5,"Formations, accompagnement technique et accès au marché","Training, technical support and market access",
about.values.title,Nos Valeurs Fondamentales,Our Core Values,
about.values.mission.title,Mission,Mission,
about.values.mission.desc,"Démocratiser l'accès aux technologies agricoles avancées pour tous les producteurs, quelle que soit la taille de leur exploitation.",Democratize access to advanced agri‑tech for all producers.,
about.values.innovation.title,Innovation,Innovation,
about.values.innovation.desc,Développer continuellement des solutions technologiques de pointe adaptées aux défis spécifiques de l'agriculture moderne.,Continuously develop cutting‑edge solutions tailored to modern farming challenges.,
about.values.sustainability.title,Durabilité,Sustainability,
about.values.sustainability.desc,Promouvoir une agriculture respectueuse de l'environnement grâce à l'optimisation des ressources et la réduction des impacts.,Promote eco‑friendly agriculture by optimizing resources and reducing impact.,
about.values.collaboration.title,Collaboration,Collaboration,
about.values.collaboration.desc,"Créer un écosystème où agriculteurs, chercheurs et technologues travaillent ensemble pour l'avenir de l'agriculture.","Create an ecosystem where farmers, researchers and technologists work together.",
about.join.title,Rejoignez l'Aventure KILIMO,Join the KILIMO Journey,
about.join.desc,"Nous recrutons des talents passionnés pour révolutionner l'agriculture africaine. Ensemble, cultivons l'avenir.",We’re hiring passionate talents to revolutionize African agriculture. Let’s grow the future together.,
about.join.cta.jobs,Voir nos offres d'emploi,View open roles,
about.join.cta.contact,Contacter l'équipe,Contact the team,
contact.title,Contactez-Nous,Contact Us,
contact.subtitle,Prêt à révolutionner votre agriculture ? Notre équipe d'experts est là pour vous accompagner dans votre transformation digitale.,Ready to transform your agriculture? Our experts will support your digital journey.,
contact.coords,Nos Coordonnées,Our Details,
contact.address.title,Adresse,Address,
contact.address.city,"Douala, Cameroun","Douala, Cameroon",
contact.address.zone,Zone industrielle Bonaberi,Bonaberi industrial zone,
contact.phone.title,Téléphone,Phone,
contact.email.title,Email,Email,
contact.hours.title,Horaires,Opening hours,
contact.hours.week,Lun - Ven: 8h - 18h,Mon - Fri: 8am - 6pm,
contact.hours.sat,Sam: 8h - 12h,Sat: 8am - 12pm,
contact.form.title,Envoyez-nous un message,Send us a message,
contact.cta.title,Prêt à Transformer Votre Agriculture ?,Ready to Transform Your Agriculture?,
contact.cta.desc,Rejoignez les centaines d'agriculteurs qui ont déjà fait confiance à KILIMO pour optimiser leurs rendements.,Join hundreds of farmers who already trust KILIMO to optimize yields.,
contact.cta.call,Planifier un appel,Schedule a call,
contact.cta.download,Télécharger la brochure,Download brochure,
newsletter.already.title,Déjà inscrit,Already subscribed,
newsletter.already.desc,Cette adresse email est déjà inscrite à notre newsletter.,This email is already subscribed to our newsletter.,
newsletter.success.title,Inscription réussie !,Successfully subscribed!,
newsletter.success.desc,Vous recevrez nos dernières actualités et contenus exclusifs.,You’ll receive our latest news and exclusive content.,
newsletter.error.title,Erreur,Error,
newsletter.error.desc,Une erreur s'est produite lors de l'inscription. Veuillez réessayer.,An error occurred. Please try again.,
newsletter.name,Nom (optionnel),Name (optional),
newsletter.name.placeholder,Votre nom,Your name,
newsletter.email,Adresse email,Email address,
newsletter.email.placeholder,votre@email.com,you@email.com,
newsletter.country,Pays,Country,
newsletter.country.placeholder,Sélectionnez votre pays,Select your country,
newsletter.phone,Téléphone (optionnel),Phone (optional),
newsletter.phone.placeholder,6XX XX XX XX,Enter your phone,
newsletter.loading,Inscription...,Subscribing...,
newsletter.submit,S'inscrire à la newsletter,Subscribe to newsletter,
news.meta.title,Actualités - KILIMO Agritech,News - KILIMO Agritech,
news.meta.desc,Restez informé des dernières nouvelles et innovations en agriculture,Stay informed about the latest agricultural news and innovation,
news.hero.alt,Actualités KILIMO,KILIMO News,
news.hero.title1,Actualités,News,
news.hero.title2,& Innovations,& Innovations,
news.hero.desc,"Découvrez les dernières nouvelles, innovations et événements dans le monde de l'agriculture moderne. Restez informé des avancées technologiques qui révolutionnent l'agriculture africaine.","Discover the latest news, innovations and events in modern agriculture. Stay informed about the technologies transforming African agriculture.",
news.badge.daily,Mise à jour quotidienne,Daily update,
news.badge.premium,Contenu premium,Premium content,
news.featured,En vedette,Featured,
news.read_more,Lire plus,Read more,
news.read_time,min de lecture,min read,
news.upcoming,Événements à venir,Upcoming events,
news.event,Événement,Event,
news.more_info,+ d'infos,More info,
news.cat.all,Toutes les catégories,All categories,
news.cat.techniques,Techniques agricoles,Farming techniques,
news.cat.innovation,Innovation,Innovation,
news.cat.formation,Formation,Training,
news.cat.events,Événements,Events,
news.event1.title,Formation sur les techniques agricoles modernes,Training on modern farming techniques,
news.event1.desc,Apprenez les dernières techniques agricoles avec nos experts.,Learn the latest techniques with our experts.,
news.event2.title,Salon de l'agriculture durable,Sustainable agriculture fair,
news.event2.desc,Découvrez les innovations en agriculture durable.,Discover innovations in sustainable agriculture.,
shop.meta.title,Boutique - KILIMO Agritech,Shop - KILIMO Agritech,
shop.meta.desc,Découvrez nos produits agricoles innovants et de qualité,Discover our innovative and quality agricultural products,
shop.hero.alt,Boutique KILIMO,KILIMO Shop,
shop.hero.title1,Boutique,Shop,
shop.hero.title2,AgriTech,AgriTech,
shop.hero.desc,"Découvrez notre sélection de produits innovants pour l'agriculture moderne. Des semences de qualité aux technologies de pointe, tout pour optimiser vos rendements.","Explore our innovative products for modern agriculture. From quality seeds to advanced tech, everything to optimize your yields.",
shop.badge.shipping,Livraison rapide,Fast shipping,
shop.badge.quality,Qualité garantie,Quality assured,
shop.badge.new,Nouveau,New,
shop.badge.best,Populaire,Bestseller,
shop.search,Rechercher un produit...,Search a product...,
shop.added,Produit ajouté,Product added,
shop.added_desc,a été ajouté au panier,has been added to the cart,
shop.add_error,Impossible d'ajouter le produit au panier,Unable to add the product to the cart,
shop.add_to_cart,Ajouter au panier,Add to cart,
shop.out_of_stock,Rupture de stock,Out of stock,
shop.none,Aucun produit trouvé,No product found,
shop.try_adjust,Essayez de modifier vos critères de recherche,Try adjusting your search criteria,
shop.sort.name,Nom A-Z,Name A-Z,
shop.sort.price_low,Prix croissant,Price: Low to High,
shop.sort.price_high,Prix décroissant,Price: High to Low,
shop.sort.rating,Note,Rating,
shop.sort.newest,Plus récents,Newest,
seeds.meta.title,Semences,Seeds,
seeds.meta.desc,Semences certifiées et produits agricoles pour optimiser vos rendements.,Certified seeds and products to optimize your yields.,
seeds.hero.title,Semences & Produits Agricoles,Seeds & Agricultural Products,
seeds.hero.desc,Découvrez notre sélection de semences de qualité et produits agricoles pour optimiser vos rendements et nourrir l'avenir.,Discover our quality seeds and agri products to optimize yields and feed the future.,
seeds.badge.certified,Semences certifiées,Certified seeds,
seeds.badge.quality,Qualité garantie,Quality assured,
seeds.badge.shipping,Livraison rapide,Fast delivery,
seeds.search,Rechercher des semences...,Search seeds...,
seeds.select_category,Sélectionner une catégorie,Select a category,
seeds.cat.all,Toutes catégories,All categories,
seeds.cat.cereales,Céréales,Cereals,
seeds.cat.legumineuses,Légumineuses,Legumes,
seeds.cat.legumes,Légumes,Vegetables,
seeds.cat.fruits,Fruits,Fruits,
seeds.cat.fourrage,Plantes fourragères,Fodder plants,
seeds.cat.aromates,Herbes & Aromates,Herbs & Spices,
seeds.loading,Chargement des semences...,Loading seeds...,
seeds.variety,Variété,Variety,
seeds.harvest,Récolte,Harvest,
seeds.yield,Rendement,Yield,
seeds.features,Caractéristiques,Features,
seeds.per,par,per,
seeds.details,Voir détails,View details,
seeds.details.aria,Voir détails de la semence,View seed details,
seeds.none,Aucun produit trouvé,No products found,
seeds.try_adjust,Essayez de modifier vos critères de recherche,Try adjusting your search criteria,
seeds.error.loading,Nous rencontrons actuellement des difficultés pour charger notre catalogue de semences. Veuillez nous excuser pour ce désagrément et réessayer dans quelques instants.,We are currently experiencing difficulties loading our seed catalog. We apologize for the inconvenience and please try again in a few moments.,
seeds.error.retry,Réessayer,Retry,
elearning.enrolled,Inscrit,Enrolled,
elearning.register.professional_activity,Activité professionnelle,,
elearning.register.professional_activity_placeholder,"Ex: Agronome, Entrepreneur, Maraîcher...",,
elearning.register.organization,Organisation / Entreprise,,
elearning.register.organization_placeholder,Nom de votre structure,,
elearning.register.sector,Secteur d'activité,,
elearning.register.sector_placeholder,"Ex: Élevage, Maraîchage, Pisciculture...",,
elearning.register.experience_level,Niveau d'expérience,,
elearning.register.experience_level_beginner,Débutant,,
elearning.register.experience_level_intermediate,Intermédiaire,,
elearning.register.experience_level_expert,Expert,,
elearning.register.expectations,Vos attentes pour ce cours,,
elearning.register.expectations_placeholder,Quels objectifs souhaitez-vous atteindre ?,,
notfound.meta.title,Page introuvable,Page not found,
notfound.meta.desc,La page que vous recherchez n'existe pas ou a été déplacée.,The page you are looking for does not exist or has been moved.,
notfound.heading,Page introuvable,Page not found,
notfound.desc,"Désolé, la page que vous cherchez n'existe pas, a été déplacée ou retirée.","Sorry, the page you're looking for doesn't exist, was moved, or was removed.",
notfound.cta.home,Retour à l'accueil,Back to home,
notfound.cta.back,Page précédente,Previous page,
